,eq,60N,60S
1981-01-06,-32.144766506339025,58.13277855650758,-14.226159807200023
1981-01-07,-31.98317419134183,57.96027337457445,-14.03771583619691
1981-01-08,-32.17814168248652,59.1666072305846,-13.01219658594148
1981-01-09,-32.29034383681597,61.737373287809746,-12.65454704216676
1981-01-10,-32.72957679732099,61.49607426101249,-12.99341871919159
1981-01-11,-32.33506389518346,59.947970350352236,-12.236464268179354
1981-01-12,-32.510293612579574,60.82807824793185,-12.438975626587782
1981-01-13,-32.41361658603556,60.29227999292198,-12.988143847547878
1981-01-14,-32.07256885864999,60.446338816118505,-12.409032277869278
1981-01-15,-32.21277683533539,62.01443940293305,-11.56819745503561
1981-01-16,-32.10515971944277,63.710835198431276,-11.326307392713174
1981-01-17,-32.075158391323484,62.92384771531189,-11.256013294413465
1981-01-18,-32.30757734414162,60.5751067332832,-11.087059336254205
1981-01-19,-31.90050199471381,57.799452460826096,-11.223283849934612
1981-01-20,-32.14342888125459,53.988780919130335,-11.12761890913654
1981-01-21,-32.44893404974498,50.55471807723656,-10.57772651291356
1981-01-22,-31.749315087343582,47.77960054330591,-10.95681489905245
1981-01-23,-32.0508408573268,44.42041782641741,-11.034648392354292
1981-01-24,-31.51271249978785,39.14374197852843,-9.940868943811926
1981-01-25,-31.68326864930049,35.665775741830515,-8.664522479452865
1981-01-26,-32.256198420844385,34.03472905561913,-8.411435911455206
1981-01-27,-32.37533521368229,35.76594052325997,-7.745748152149101
1981-01-28,-32.85543611103887,33.00256989040163,-6.859066714846954
1981-01-29,-32.83153856448341,29.816798996486575,-7.704206015512884
1981-01-30,-31.89842093614658,26.26587895103324,-7.558057374377343
1981-01-31,-31.75926683349757,21.145475816611853,-7.3196444887306145
1981-02-01,-31.279924074219938,18.36187359626044,-7.0980317240848665
1981-02-02,-30.76398724996083,20.22717498063657,-6.512243215470104
1981-02-03,-30.94612684218568,22.079414806418058,-6.130177412341325
1981-02-04,-31.45941318957915,12.994100739779501,-6.008451929410476
1981-02-05,-30.634431729891247,7.81061673732355,-5.331373427245183
1981-02-06,-30.7457609793996,0.6031093059676652,-5.035631423117558
1981-02-07,-30.488603910216863,2.811807795652314,-4.727046709104534
1981-02-08,-30.06647667077809,13.313191445033855,-4.197658106923922
1981-02-09,-29.941437088916768,18.452708913287147,-3.690230495024023
1981-02-10,-29.659703990499057,16.771387047940337,-3.020927493744603
1981-02-11,-29.539346070276498,14.211804333636621,-2.2603697323916436
1981-02-12,-29.028941234117728,11.41175923920269,-1.8929081969837236
1981-02-13,-28.5329831994573,5.689776708551536,-1.2969170089853004
1981-02-14,-28.525045591792978,4.423170706030469,-0.5722009224335965
1981-02-15,-28.96872707138236,9.282445349137758,0.3142509861964405
1981-02-16,-29.080942165119666,11.84457174496289,0.4802054706036975
1981-02-17,-28.508928442563068,14.450681662848723,1.4260247295373751
1981-02-18,-28.652440669787786,17.98798845552695,2.168899245957305
1981-02-19,-28.86725352371143,16.068733426809736,2.1781226163743903
1981-02-20,-28.66884223367958,17.09661109333146,2.821605809974796
1981-02-21,-29.28943905091661,17.069821017201605,3.5230923880078078
1981-02-22,-29.078569301332333,17.78287405600344,3.6791309156571637
1981-02-23,-29.414378957150664,18.658119642008366,3.989555698884908
1981-02-24,-29.274050124510225,16.640754170383524,4.4717913413725805
1981-02-25,-29.453825277818634,16.895431347733062,4.2311268464360285
1981-02-26,-29.654923975747092,16.48572148017989,4.632381697500793
